Image;Temps (s);Texte
18.jpg;14.66;Give Thank us feedback @ yout ID #:70D137157NXS biarysy.walmart.com Walmart ** 863-318-0752 7450 CYPRESS Mgr:MARK ST# 03347 WINTER HAVEN GARDENS FL 33884 BLVD GV WATER OPH 009036 TEH 36 TR# GV WATER 007874235191 F 05386 GREAT VALUE 007874235191 F 0.98 0.98 N N GREAT VALUE 007874206203 F 2.84 N GAIN LFE 007874206203 F 2.84 N GAIN 003700077007 6.97 X GV VEG OIL 003700076954 4.94 X SNICKER FS 007874221000 F 7.82 N GDBR FS 6PK 004000050533 F 3.78 X MIXED CHOC 003400029305 F 4.76 X CHERRIES 004000047587 F 13.24 X GAIN 004326880002 F 1.78 X HY RSTLEG 003700082365 1.97 X BATTERIES PM 035497333521H 9.97 N GV 20Z MINI 001280051783 10.97 X CRNBRY 007874219999 2.97 X SPREADS SAUCE 003120001605 F 1.58 0 EGGS 6CT 002740026499 F 3.46 0 007874212709 F 0.90 0 SUBTOTAL 82.75 TAX 1 7.000 % 3.60 TOTAL 86.35 I pleper DEBIT TEND 86.35 CHANGE DUE 0.00 EFT DEBIT PAY FROM PRIMARY 86.35 TOTAL PURCHASE FIFTHTHIRD DEBIT x* XXX* ***X 9832 I 0 REF # 130400725877 NETWORK ID. 0076 APPR CODE 001740 US Debit AID A0000000042203 AAC A8FABF3DOFD07485 TERMINAL # SC011151 10/31/21 10:08:22 # ITEMS SOLD 18 TC# 7563 1623 3938 0953 7373 Low Prices You Can Trust. Every Day. 10/31/21 10:08:26 
19.jpg;10.9;Give us feedback @ survey. Thank you! ID #:70DRJJ99F3X walmart.com Walmart 863-676-9425 Mor:EURIEL 2000 STATE ROAD 60 E LAKE WALES FL 33898 ST# 00859 OP# 009026 TE# 26 TR# 02422 GRILL COVER 471288396027 14.97 X FIBER CHOICE 036926600094 12.94 N CELERY HEART 003338365301 F 2.48 N RED GRAPE 000000004023KF 2.51 lb @ 11b /1.44 3.61 N SUBTOTAL 34.00 TAX 1 T.000 % 1.05 TOTAL 35.05 SHOPPING CARD TEND 35.05 CHANGE DUE 0.00 SHOP.CARD REDEMPTION 35.05 ACCOUNT *** a ****** - *0246 Beg Bal Tran Amt End Bal 157.29 35.05 122.24 # ITEMS SOLD 4 TC# 6949 6652 6669 8007 1705 Low Prices You Can Trust. Every Day. 10/16/21 11:22:45 
2.jpg;12.47;Give us feedback @ survey.walmart.com Thank you! ID #:7PB65JWCFZ2 Walmart* 949-498-6669 Mgr:MICHAEL 951 AVENIDA PICO SAN CLEMENTE CA 92673 ST# 02527 OP# 009045 TE# 45 TR# 06193 GV OATMEAL 007874243408 F 1.76 0 OT 200Z TUM 081236803115 6.74 X M ATHLETICS 019104567781 24.97 X DEXAS 15X20 008429710921 12.97 X SUBTOTAL 46.44 TAX 1 7.750 % 3.46 TOTAL 49.90 DEBIT TEND 49.90 CHANGE DUE 0.00 EFT DEBIT PAY FROM PRIMARY 49.90 TOTAL PURCHASE US DEBIT **** **** **** 9689 I 0 REF # 029200639128 NETWORK ID. 0056 APPR CODE 461500 US DEBIT AID A0000000980840 AAC 7756F4EB82B54EED TERMINAL # SC011004 10/18/20 11:30:42 # ITEMS SOLD 4 TC# 2400 4776 4305 8847 1471 W+ T Introducing Walmart+ Join loday at walmarL.com/plus Low Prices You Can Trust. Every Day. 10/18/20 11:30:46 
3.jpg;20.28;See back of to win $1000 receipt for your chance ID #:7N5N1VIXCQDQ Walmart 317-851-1102 MyrJAMIE BROOKSHIRE 882 S. STATE ROAD 135 ST# 05483 OP# GREENWOOD 001436 IN TE# 46143 09 TR# 06976 TATER TOTS 001312000026 2.96 0 HARD/PROV/DC SNACK 007874219410 2.68 0 HRI CL BARS 002190848816 4.98 T HRI CL CHS CHS 003120506000 5.88 003120506000 6.88 0 I HRI ** VOIDED ENTRY ** HRI CL CHS 003120506000 5.88-0 12 U SG 003120535000 E 5.88 D HRI CL PEP 003120507000 F 5.88 0 EARBUDS SC BCN CHDDR 068113100946 4.88 X ABF THINBRST 007874202906 6.98 0 022461710972 9.72 0 HARD/PROV/DC 007874219410 : DV RSE OIL M 001111101220 2.68 6.94 X APPLE 3 BAG 084747300184 F 6.47 N STOK LT SWT 004127102774 F 4.42 T PEANUT BUTTR 005150026499 F 6.44 0 AVO VERDE 061611206143 F 2.98 ROLLS 007874219415 F 1.28 & BTS DRY BLON 501072462746 6.58 GALE 000000000003K 32.00 X TR HS FRM 4 002240062190 2.74 X BAGELS 001376402801 F 4.56 GV SLIDERS 007874201525 2.98 % ACCESSORY 007515161216 0.97 X CHEEZE IT 002410053523 F 4.00 0 WAS 4.54 YOU SAVED 0.54 RITZ 004400088210 F 2.78 N RUFFLES 002840020942 F 2.50 GV HNY GRMS 007874207263 F 1.28 N SUBTOTAL 139.44 TAX 1 7.000 % 4.58 TOTAL 144.02 CASH TEND 150.02 CHANGE DUE 6.00 # ITEMS SOLD 26 TC# 0783 5080 4072 3416 2495 5 04/27/19 12:69:46 Scan with Walmart OPP to save receipts 
4.jpg;17.54;Walmart* Save money. Live better. ( 712 ) 366 = 3326 MANAGER DONALD MONEYMAKER 3201 MANAWA CENTRE DR COUNCIL BLUFFS IA 51501 ST# 01965 OP# 002031 TE# 20 TR# 05145 SW HRO FGHTR 063050940732 6.94 T SUBTOTAL 6.94 TAX 1 7.000 % 0.49 TOTAL 7.43 DEBIT TEND 7.43 CHANGE DUE 0.00 EFT DEBIT PAY FROM PRIMARY 7.43 TOTAL PURCHASE ACCOUNT # **** **** **** S REF # 534200381755 NETWORK ID. 0056 APPR CODE 087193 TERMINAL # MX995026 12/08/15 12:39:24 # ITEMS SOLD 1 TC# 3261 4114 0323 3051 6498 NEW STORE HOURS Open 6am to midnight 7 days a week. 12/08/15 12:39:26 Savings Catcher! Scan with Walmart app 
5.jpg;19.52;WHOLE FOODS MARKET Sunnyvale SVL 408-419-1290 150 E Mc Kinley Ave Sunnyvale, CA 94086 KTTL SEA SALT POT CHP $1.29 F BRAIDED BRIOCHE $6.99 F CHEF PLATE MEAL $10 2 @ $10.00 ea $20.00 F Subtotal: $28.28 Net Sales: $28.28 Total: $28.28 Sold Items: 4 Paid: - H - RETURNS: We are now accepting returns on purchases with the following conditions: Returns will only be accepted on purchases made on or after 9/15/2020. All returns require a receipt. No returns on items purchased after 90 days. For additional information please visit wfm.com/returns. Earn 5% Back at Whole Foods Market with the Amazon Prime Rewards Visa. Learn more at amazon.com/amazonvisa HOW WAS YOUR SHOPPING EXPERIENCE? Go to: http://www.wfm.com/feedback ENTER FOR A CHANCE TO WIN A $250 GIFT CARD 908 6387 02/10/2021 07:10 PM 63011070790806387021020210 6KTHQW62ZD Thanks for shonning at Whole Foods Market 
6.JPG;10.04;MOMI G TOY'S CRÉPERIE Mall Kemang, L VI No. 6 LippamMal momiantoys, ind (inst @indmomi (twitter) Check: 3850 Pax:1 OP:Gunawan Gunawan POS Title:Cashier Rcpt#:A15000001363 26/01/2015 16:13 1 Woman 0 2 Ham Cheese 74, 000 1 Ice Java Tea 16,000 1 Mineral Water 13,000 1 Black & White 72, ,000 SUBTOTAL 175, ,000 TOTAL 175,000 CASH 200,000 Change 25,000 Closed Bill 4 -26/01/2015 16:14- Thank you for tasting our Meltingly Crepe 
7.jpg;15.63;See back of receipt for your chance to win $1000 ID #: 7L2T9WJM25F Walmart Save money. Live better. ( 701 ) 223 - 3066 MANAGER TIM MORRIS 2717 ROCK ISLAND PL BISMARCK ND 58504 ST# 01534 OP# 009048 TE# 48 TR# 04455 6 WING PLATE 020108870398 3.98 P ASST 27 063099656595 4.88 X CUTIE CAR 063099656644 12.88 X SUBTOTAL 21.74 TAX 1 6.500 % 1.15 TAX 4 7.500 % 0.30 TOTAL 23.19 DEBIT TEND 23.19 CHANGE DUE 0.00 EFT DEBIT PAY FROM PRIMARY 23.19 TOTAL PURCHASE US DEBIT **** **** **** 2696 I 0 REF # 731700494718 NETWORK ID. 0081 APPR CODE 936886 US DEBIT AID A0000000980840 TC 58B77239DA5B3B44 *NO SIGNATURE REQUIRED TERMINAL # SC011090 11/13/17 12:34:04 # ITEMS SOLD 3 TC# 2188 7274 6444 1567 3762 Low Prices You Can Trust. Every Day. 11/13/17 12:34:11 Store receipts on your phone. Walmart P ay. 
8.jpg;13.29;COSTCO WHOLESALE Thornton #629 16375 N. Washington St. Thornton, CO 80023 2X Member 111826278335 23.99 E E 673919 FF BS BREAST 6.49 E E 633561 KS DICED TOM 2.97 E E 967596 JACKORGSALSA 3 @ 4.29 12.87 E E 878137 18CT EGGS 6.29 E E 77053 GRAPE TOMATO 6.49 A 404609 ECO HALF PAN E 55992 GRND TURKEY 18.47 E E 263423 CHPD ONION 3.59 E E 22101 MONT JACK 2# 4.45 E SUBTOTAL 85.61 TAX 3.52 89.1K **** TOTAL Check/Member Prntd 89.13 CHANGE 0.00 A 8.50% TAX 0.55 E 3.75% TAX 2.97 TOTAL TAX 3.52 TOTAL NUMBER OF ITEMS SOLD = 11 047/2072016 15:00 629 4 172 14 OP#: 14 Name: PEPPER Thank You! Please Come Again Whse:629 Trm:4 Trn:172 OP:14 
9.jpg;17.87;"Winco The FOODS Supermurker www. Lme Price Lender 800 S ""tncofoods.com Cockrell Dundeboneralt Store TX Hill 75137 Rd Yolanda R H0124 Cashier: 09/08/14 11:16:24 N/YORK TX GRLC 6848900558 CHICKEN WINGS BLEND 5.39 2.18 FS FS ROROERE PICSWEET 20 1.34 7056087677 2.68 FS PICSWEET GREENS 1.28 2.56 FS 20 WINGS 26840100000 CHICKEN LN GRND B 20167400000 5.48 FS DIET LOIN CHOP 20337400000 10.87 FS PORK 26841800000 9.91 FS DRUMSTICKS STK FP 20148200000 5.32 FS EYE RND STK FP 20148200000 8.39 FS EYE RND STEW 20254300000 8.24 FS BEEF FOR 20323300000 10.48 FS PORK 1/2 LOIN 4497921020 8.12 FS B/BEST S STEAK 1590013401 1.00 FS BAR S MEAT FRNK 4470001903 3.99 88 FS 0/M HAM 7055280303 1.68 FS WINCO NOODLES FS 20 84 5.98 TNDRBRD CHIX BR 3737101318 FS KRFT DELUXE MAC 2100065886 3.64 FS 20 1.82 EGGO WAFFLE 3800037435 1.96 FS L/D NUTTY BARS 2430004120 1.25 FS LID OATMEAL CRM 2430004101 1.25 FS LINKS MILD 74295503660 5.78 FS KEEB TOWNHOUSE 3010010055 1.98 FS TURKEY FRANK 4222281210 .88 FS RESERS POT SLD 7111719300 .98 FS DM SPAG SAUCE 2400052363 .71 FS HUNTS MANWICH 2700044212 1.64 FS 20 .82 DM PNAPL CHNKY 2400000164 1.96 FS 20 98 SUNBEAN BUNS 7763306333 1.98 FS WINCO SNDWCH WT 7055200115 .91 FS WINCO HOMO MILK 7055240600 2.48 FS EGGS 7003837280 1.37 FS SUBTOTAL 121.92 TOTAL TAX .00 TOTAL 121.92 "
