Image;Temps (s);Texte
18.jpg;7.5;Give us feedback  survey.walmart.com Thank you! ID #7QD13715/NX5 863-318-0752 Mgr:MARK 7450 CYPRESS GARDENS BLVD ST#033470P#009036TE36TR#05386 WINTER HAVEN FL33884 GVWATER GVWAIER 007874235191F GREAT VALUE 007874235191F 0.98N GREAT VALUE 007874206203F 0.98 N GAIN LFE 007874206203 F 2.84N GAIN 003700077007 2.84N GVVEG On 003700076954 6.97 SNICKER ES 007874221000F 4.94X 004000050533 7.82N GDBR FS 6PK 003400029305 F 3.78 MIXED CHOC 4.76X CHERRIES 004000047587F 13.24X GAIN 004326880002F 1.78 003700082355 1.97X BATTERIES 9.97N GV20Z MINI 001280051783 10.97X CRNBRY SAUCE 007874219999 2.97 SPREADS 003120001605 1.580 EGGS6CT 002740026499 3.460 007874212709F 0.900 SUBTOTAL 82.75 TAX1 7.000% 3.60 Detauyayor TOTAL 86.35 DEBIT TEND 86.35 CHANGE DUE 0.00 EFI DEBIT PAY FROM PRIMARY 86.35TOTAL PURCHASE FIFIHIHIRD DEBI *x ** **** 9832I0 REF#130400725877 NETWORK ID.0076 APPR CODE 001740 US Debit AID A0000000042203 AAC A8FABF3D0FD07485 TERMINAL#SCO11151 10/31/2110:08:22 #ITEMS SOLD 18 IC#75631623393809537373 10/31/21 10:08:26 
19.jpg;3.52;juodean oi 14.97X 12.94N 2.48N RED GRAPE 2.511b1lb/1.44 SUBTOTAL 3.61N 7.000% 34.00 TAX1 TOTAL 1.05 SHOPPING CARD TEND 35.05 35.05 CHANGE DUE 0.00 SHOP.CARD REDEMPTION 35.05 ACCOUNT Beg Bal Tran Amt End Bal 157.29 35.05 122.24 #ITEMS SOLD 4 TC#69496652 6669 8007 1705 10/16/21 11:22:45 JOY2WRHT 
2.jpg;5.95;Give us feedback @ survey.walmart.com Thank you!ID#:7PB65JWCFZ2 Walmart 949-498-6669 Mgr:MICHAEL 951 AVENIDA PICO SAN CLEMENTE CA 92673 ST#02527OP#009045 TE#45 TR#06193 GV OATMEAL 007874243408F 1.760 OT 200Z TUM 081236803115 6.74X M ATHLETICS 019104567781 24.97X DEXAS 15X20 008429710921 12.97 SUBTOTAL 46.44 TAX1 7.750% 3.46 TOTAL 49.90 DEBIT TEND 49.90 CHANGE DUE 0.00 EFT DEBIT PAY FROM PRIMARY 49.90 TOTAL PURCHASE US DEBIT ***********9689I0 REF#029200639128 NETW0RK ID.0056 APPR C0DE 461500 USDEBIT AID A0000000980840 AAC 7756F4EB82B54EED TERMINAL #SC011004 10/18/20 11:30:42 #ITEMS SOLD 4 TC#2400 47764305 8847 1471 W Introducing Walmart+ Join Loday at walmarL.com/plus Low Prices You Can Trust. Every Day. 10/18/20 11:30:46 
3.jpg;8.96;Walmart' 882S.STATE ROAD 135 GREENWOOD IN 46143 2.96 2.680 HRI CL CHS 4.98T HRI CL CHS 003120506000 F 5.880 VOIDED ENTRY 003120506000F 6.880 5.88-0 HRI CL PEP 5.88 EARBUDS 003120507000F 5.88 0 SC BCN CHDDR 007874202906F 068113100946 4.88 6.98 X ABF THINBRST 022461710972F 0 HARD/PR0V/DC 007874219410 9.72 DVRSE 0IL M 001111101220 2. 68 94 - APPLE3BAG 084747300184 X STOK LT SWT004127102774 6 47 PEANUT BUTTR 005150025499 4. 42 AVO VERDE 44 061611206143 - ROLLS 98 007874219415 1. BTS DRY BL0N 501072452746 GALE X 000000000003K 32. TR HS FRM 4 002240062190 00 2.7 74 BAGELS 001376402801 4.66 X GVSLIDERS 007874201525 0 2.98 ACCESSORY 007515161216 X 0.97 CHEEZE IT 002410053523F X 4.000 WAS4.54YOU SAVED0.64 RITZ 004400088210F 2.78N RUFFLES 002840020942 2.50 N GV HNY GRMS 007874207263 F 1.28N SUBTOTAL 139.44 TAX1 7.000% 4.58 TOTAL 144.02 CASHTEND 160.02 CHANGE DUE 6.00 #ITEMS SOLD26 TC#0783 5080 4072 3416 2495 5 04/27/19 12:59:46 Scan with Walmart app to save receipts 
4.jpg;4.76;Walmart Save money. Live better. 712366-3326 MANAGER DONALD MONEYMAKER 3201 MANAWA CENTRE DR COUNCIL BLUFFS IA51501 ST#019650P#002031 TE#20TR#05145 SW HR0 FGHTR 063050940732 SUBTOTAL 6.94 TAX1 7.000% 6.94 0.49 DEBIT TEND TOTAL 7.43 CHANGEDUE 7.43 0.00 EFT DEBIT 7.43TOTAL PURCHASE PAY FROM PRIMARY ACCOUNT # REF#534200381755    NETWORK ID.0056 APPR C0DE 087193 TERMINAL#MX995026 12/08/15 12:39:24 #ITEMS SOLD1 TC#3261 4114 0323 3051 6498 NEW STORE HOURS Open 6am to midnisht 7 days a week. 12/08/15 12:39:26 Savings Catcher! Scan with Walmart app .io 
5.jpg;7.79;WHOLE FOODS MARKET Sunnyvale SVL 408-419-1290 150 E Mc Kin1ey Ave Sunnyvale,CA 94086 $1.29F KTTL SEA SALT POT CHP $6.99F BRAIDED BRIOCHE CHEF PLATE MEAL $10 $20.00F 2 @$10.00 ea Subtotal: $28.28 $28.28 Net Sales: $28.28 Total: Sold Items: 4 Paid: RETURNs: We are now accepting returns on purchases with the following conditions: Returns wi11 only be accepted on purchases made on or after 9/15/2020.A11 returns reguire a receipt. No returns on items purchased after 90 days. For additional information please visit wfm.com/returns Earn 5% Back at Whole Foods Market with the Amazon Prime Rewards Visa. Learn more at amazon.com/amazonvisa ***x******x HOW WAS YOUR SHOPPING EXPERIENCE? Goto:http://www.wfm.com/feedback ENTER FOR A CHANCE TO WIN A $250 GIFT CARD 908638702/10/2021 07:10PM 63011070790806387021020210 6KTHQW62ZD 
6.JPG;5.18;"MOMICTOY'S CREPERIE Lippo Ma11Kemang, Kemang VI No. 6 momiantoys_ind (inst @indmomi(twitter) Check:3850 Pax:1 OP:Gunawan Gunawan POS Title:Cashier Rcpt#:A15000001363 26/01/2015 16:13 1 Woman 0 2 Ham Cheese 74,000 1 Ice Java Tea 16,000 Mineral Water 13,000 1Black & White 72,000 SUBTOTAL 175,000 TOTAL 175.000 CASH 200,000 Change 25,000 Closed Bi11 26/01/201516:14 Thank you for tasting our ""Meltingly Crepe "
7.jpg;6.27;See back of receipt for your chance to win $1000 ID# 7L2T9WJM25F Walmart Save money.Live better. 701223-3066 MANAGER TIM MORRIS 2717 ROCK ISLAND PI BISMARCK ND 58504 ST#015340P#009048 TE#48TR#04455 6WING PLATE 020108870398 3.98P ASST27 063099656595 4.88 CUTIE CAR 063099656644 12.88X SUBTOTAL 21.74 TAX 1 6.500% 1.15 TAX4 7.500% 0.30 TOTAL 23.19 DEBIT TEND 23.19 CHANGE DUE 0.00 EFT DEBIT PAY FROM PRIMARY 23.19 TOTAL PURCHASE US DEBIT ********2696I0 REF#731700494718 NETWORK ID.0081 APPR C0DE 936886 US DEBIT AID A0000000980840 TC58B77239DA5B3B44 *NO SIGNATURE REQUIRED TERMINAL#SC011090 11/13/1712:34:04 #ITEMS SOLD3 TC#21887274 6444 15673762 Low Prices You Can Trust.Every Day. 11/13/17 12:34:11 Store receipts on your phone.Walmart P ay. 
8.jpg;6.75;COSTCO WHOLESALE Thornton #629 16375 N. Washington St. Thornton,CO 80023 2XMember 111826278335 23.99E E 673919 FF BS BREAST 6.49E E 633561KS DICED TOM 2.97E E 967596 JACKORGSALSA 34.29 12.87E E 878137 18CT EGGS 6.29E E 77053 GRAPE TOMATO 6.49A 404609 EC0HALF PAN 18.47E E 55992 GRND TURKEY 3.59E E 263423 CHPD ONION 4.45E E 22101 MONT JACK 2# SUBTOTAL 85.61 3.52 TAX 89.3 TOTAL Check/Member Prntd 89.13 CHANGE 0.00 A8.50%TAX 0.55 E3.75%TAX 2.97 3.52 TOTAL TAX TOTAL NUMBER OF ITEMS SOLD= 11 04/20/201615:00629417214 OP#14 Name:PEPPER ThankYou! Please Come Again Whse:629 Trm:4 Trn:172 0P:14 
9.jpg;8.03;WinCo FOODS www.wincofoods.com Store #0124 09/08/14 11:16:24 N/YORK TX GRLC 2.18FS 5.39FS PICSWEET BLEND 201.34 2.68FS 2.56FS 201.28 5.48FS 10.87FS PORK LOIN CHOP 20337400000 26841800000 9.91FS DRUMSTICKS 5.32FS EYE RND STK FP 20148200000 8.39FS EYE RND STKFP 20148200000 10.48FS 8.24FS BEEF F0R STEW 20254300000 PORK 1/2 L0IN 20323300000 8.12FS 1.00FS B/BESTS STEAK 4497921020 3.99FS .88FS O/M HAM 4470001903 7055280303 1.68FS WINCO NOODLES 2.84 5.98FS TNDRBRD CHIX BR 3737101318 3.64FS KRFT DELUXE MAC 2100065886 21.82 EGGO WAFFLE 3800037435 1.96FS L/D NUTTY BARS 62430004120 1.25FS L\D 0ATMEAL CRM 2430004101 1.25FS LINKS MILD 74295503660 5.78FS KEEB TOWNHOUSE 3010010055 1.98FS TURKEY FRANK 4222281210 88FS RESERS POT SLD 7111719300 98FS DM SPAG SAUCE 2400052363 .71FS HUNTS MANWICH 2700044212 1.64FS 2.82 DM PNAPL CHNKY 2400000164 1.96FS 2.98 SUNBEAN BUNS 7763306333 WINCO SNDWCH WT 7055200115 1.98FS WINCO HOMO MILK 7055240600 91FS 2.48FS EGGS 7003837280 SUBTOTAL 1.37FS 121.92 TOTAL TAX .00 TOTAL 121.92 
